Show,IMDB ID,Genre,Season,Episode,Title,Air Date,Year,Rating,Votes2,First_Season_Average,Last_season_average
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",1,1,Winter Is Coming,2011-04-17,2011,8.9,78000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",1,2,The Kingsroad,2011-04-24,2011,8.6,59000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",1,3,Lord Snow,2011-05-01,2011,8.5,56000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",1,4,"Cripples, Bastards, and Broken Things",2011-05-08,2011,8.6,54000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",1,5,The Wolf and the Lion,2011-05-15,2011,9.0,57000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",1,6,A Golden Crown,2011-05-22,2011,9.1,56000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",1,7,You Win or You Die,2011-05-29,2011,9.2,56000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",1,8,The Pointy End,2011-06-05,2011,8.9,53000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",1,9,Baelor,2011-06-12,2011,9.6,77000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",1,10,Fire and Blood,2011-06-19,2011,9.4,65000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",2,1,The North Remembers,2012-04-01,2012,8.6,49000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",2,2,The Night Lands,2012-04-08,2012,8.3,46000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",2,3,What Is Dead May Never Die,2012-04-15,2012,8.6,46000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",2,4,Garden of Bones,2012-04-22,2012,8.6,45000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",2,5,The Ghost of Harrenhal,2012-04-29,2012,8.6,45000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",2,6,The Old Gods and the New,2012-05-06,2012,8.9,47000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",2,7,A Man Without Honor,2012-05-13,2012,8.8,45000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",2,8,The Prince of Winterfell,2012-05-20,2012,8.6,45000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",2,9,Blackwater,2012-05-27,2012,9.7,84000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",2,10,Valar Morghulis,2012-06-03,2012,9.3,55000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",3,1,Valar Dohaeris,2013-03-31,2013,8.6,47000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",3,2,"Dark Wings, Dark Words",2013-04-07,2013,8.4,44000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",3,3,Walk of Punishment,2013-04-14,2013,8.7,44000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",3,4,And Now His Watch Is Ended,2013-04-21,2013,9.5,61000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",3,5,Kissed by Fire,2013-04-28,2013,8.9,47000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",3,6,The Climb,2013-05-05,2013,8.7,45000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",3,7,The Bear and the Maiden Fair,2013-05-12,2013,8.6,44000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",3,8,Second Sons,2013-05-19,2013,8.9,45000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",3,9,The Rains of Castamere,2013-06-02,2013,9.9,182000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",3,10,Mhysa,2013-06-09,2013,9.1,51000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",4,1,Two Swords,2014-04-06,2014,9.0,54000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",4,2,The Lion and the Rose,2014-04-13,2014,9.7,88000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",4,3,Breaker of Chains,2014-04-20,2014,8.7,47000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",4,4,Oathkeeper,2014-04-27,2014,8.7,46000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",4,5,First of His Name,2014-05-04,2014,8.6,45000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",4,6,The Laws of Gods and Men,2014-05-11,2014,9.7,90000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",4,7,Mockingbird,2014-05-18,2014,9.0,50000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",4,8,The Mountain and the Viper,2014-06-01,2014,9.7,88000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",4,9,The Watchers on the Wall,2014-06-08,2014,9.6,80000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",4,10,The Children,2014-06-15,2014,9.7,79000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",5,1,The Wars to Come,2015-04-12,2015,8.3,46000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",5,2,The House of Black and White,2015-04-19,2015,8.3,43000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",5,3,High Sparrow,2015-04-26,2015,8.3,42000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",5,4,Sons of the Harpy,2015-05-03,2015,8.5,42000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",5,5,Kill the Boy,2015-05-10,2015,8.5,43000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",5,6,"Unbowed, Unbent, Unbroken",2015-05-17,2015,7.9,50000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",5,7,The Gift,2015-05-24,2015,8.8,45000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",5,8,Hardhome,2015-05-31,2015,9.8,142000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",5,9,The Dance of Dragons,2015-06-07,2015,9.4,65000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",5,10,Mother's Mercy,2015-06-14,2015,9.2,63000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",6,1,The Red Woman,2016-04-24,2016,8.4,56000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",6,2,Home,2016-05-01,2016,9.2,65000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",6,3,Oathbreaker,2016-05-08,2016,8.6,51000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",6,4,Book of the Stranger,2016-05-15,2016,9.0,55000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",6,5,The Door,2016-05-22,2016,9.7,107000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",6,6,Blood of My Blood,2016-05-29,2016,8.3,50000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",6,7,The Broken Man,2016-06-05,2016,8.5,49000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",6,8,No One,2016-06-12,2016,8.3,54000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",6,9,Battle of the Bastards,2016-06-19,2016,9.9,307000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",6,10,The Winds of Winter,2016-06-26,2016,9.9,227000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",7,1,Dragonstone,2017-07-16,2017,8.5,67000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",7,2,Stormborn,2017-07-23,2017,8.8,61000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",7,3,The Queen's Justice,2017-07-30,2017,9.1,64000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",7,4,The Spoils of War,2017-08-06,2017,9.7,123000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",7,5,Eastwatch,2017-08-13,2017,8.6,60000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",7,6,Beyond the Wall,2017-08-20,2017,9.0,86000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",7,7,The Dragon and the Wolf,2017-08-27,2017,9.4,88000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",8,1,Winterfell,2019-04-14,2019,7.6,158000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",8,2,A Knight of the Seven Kingdoms,2019-04-21,2019,7.9,158000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",8,3,The Long Night,2019-04-28,2019,7.5,253000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",8,4,The Last of the Starks,2019-05-05,2019,5.5,193000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",8,5,The Bells,2019-05-12,2019,5.9,225000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",8,6,The Iron Throne,2019-05-19,2019,4.0,302000.0,9.0,6.4
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",1,1,Pilot,2007-09-24,2007,8.1,8400.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",1,2,The Big Bran Hypothesis,2007-10-01,2007,8.2,6800.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",1,3,The Fuzzy Boots Corollary,2007-10-08,2007,7.6,6100.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",1,4,The Luminous Fish Effect,2007-10-15,2007,8.0,6100.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",1,5,The Hamburger Postulate,2007-10-22,2007,7.8,5800.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",1,6,The Middle Earth Paradigm,2007-10-29,2007,8.3,6100.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",1,7,The Dumpling Paradox,2007-11-05,2007,8.0,5700.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",1,8,The Grasshopper Experiment,2007-11-12,2007,8.1,5800.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",1,9,The Cooper-Hofstadter Polarization,2008-03-17,2008,7.9,5600.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",1,10,The Loobenfeld Decay,2008-03-24,2008,8.0,5700.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",1,11,The Pancake Batter Anomaly,2008-03-31,2008,8.2,5700.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",1,12,The Jerusalem Duality,2008-04-14,2008,7.8,5400.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",1,13,The Bat Jar Conjecture,2008-04-21,2008,8.2,5500.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",1,14,The Nerdvana Annihilation,2008-04-28,2008,8.0,5400.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",1,15,The Pork Chop Indeterminacy,2008-05-05,2008,8.2,5700.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",1,16,The Peanut Reaction,2008-05-12,2008,8.3,5300.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",1,17,The Tangerine Factor,2008-05-19,2008,8.5,5600.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",2,1,The Bad Fish Paradigm,2008-09-22,2008,8.2,5400.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",2,2,The Codpiece Topology,2008-09-29,2008,8.0,5000.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",2,3,The Barbarian Sublimation,2008-10-06,2008,8.7,5900.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",2,4,The Griffin Equivalency,2008-10-13,2008,7.8,5100.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",2,5,The Euclid Alternative,2008-10-20,2008,8.3,5200.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",2,6,The Cooper-Nowitzki Theorem,2008-11-03,2008,8.1,5200.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",2,7,The Panty Piñata Polarization,2008-11-10,2008,8.6,5500.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",2,8,The Lizard-Spock Expansion,2008-11-17,2008,8.0,5000.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",2,9,The White Asparagus Triangulation,2008-11-24,2008,8.0,4900.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",2,10,The Vartabedian Conundrum,2008-12-08,2008,7.6,4800.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",2,11,The Bath Item Gift Hypothesis,2008-12-15,2008,9.1,8000.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",2,12,The Killer Robot Instability,2009-01-12,2009,7.8,4900.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",2,13,The Friendship Algorithm,2009-01-19,2009,7.9,4900.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",2,14,The Financial Permeability,2009-02-02,2009,7.9,4800.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",2,15,The Maternal Capacitance,2009-02-09,2009,8.8,5800.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",2,16,The Cushion Saturation,2009-03-02,2009,8.1,4800.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",2,17,The Terminator Decoupling,2009-03-09,2009,8.0,5200.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",2,18,The Work Song Nanocluster,2009-03-16,2009,8.1,4900.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",2,19,The Dead Hooker Juxtaposition,2009-03-30,2009,8.1,4900.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",2,20,The Hofstadter Isotope,2009-04-13,2009,7.8,4700.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",2,21,The Vegas Renormalization,2009-04-27,2009,8.4,5100.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",2,22,The Classified Materials Turbulence,2009-05-04,2009,8.1,4700.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",2,23,The Monopolar Expedition,2009-05-11,2009,8.2,4800.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",3,1,The Electric Can Opener Fluctuation,2009-09-21,2009,8.2,5100.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",3,2,The Jiminy Conjecture,2009-09-28,2009,7.7,4700.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",3,3,The Gothowitz Deviation,2009-10-05,2009,8.1,4800.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",3,4,The Pirate Solution,2009-10-12,2009,8.0,4700.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",3,5,The Creepy Candy Coating Corollary,2009-10-19,2009,8.3,4800.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",3,6,The Cornhusker Vortex,2009-11-02,2009,7.4,4500.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",3,7,The Guitarist Amplification,2009-11-09,2009,7.7,4600.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",3,8,The Adhesive Duck Deficiency,2009-11-16,2009,8.9,6400.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",3,9,The Vengeance Formulation,2009-11-23,2009,8.3,4800.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",3,10,The Gorilla Experiment,2009-12-07,2009,8.4,4800.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",3,11,The Maternal Congruence,2009-12-14,2009,8.3,4700.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",3,12,The Psychic Vortex,2010-01-11,2010,8.2,4700.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",3,13,The Bozeman Reaction,2010-01-18,2010,8.0,4600.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",3,14,The Einstein Approximation,2010-02-01,2010,8.4,4900.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",3,15,The Large Hadron Collision,2010-02-08,2010,8.0,4500.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",3,16,The Excelsior Acquisition,2010-03-01,2010,8.2,4600.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",3,17,The Precious Fragmentation,2010-03-08,2010,8.4,4800.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",3,18,The Pants Alternative,2010-03-22,2010,8.3,4800.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",3,19,The Wheaton Recurrence,2010-04-12,2010,7.8,4500.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",3,20,The Spaghetti Catalyst,2010-05-03,2010,8.1,4500.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",3,21,The Plimpton Stimulation,2010-05-10,2010,8.1,4800.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",3,22,The Staircase Implementation,2010-05-17,2010,9.0,6100.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",3,23,The Lunar Excitation,2010-05-24,2010,8.6,4900.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",4,1,The Robotic Manipulation,2010-09-23,2010,8.7,5400.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",4,2,The Cruciferous Vegetable Amplification,2010-09-30,2010,8.3,4800.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",4,3,The Zazzy Substitution,2010-10-07,2010,7.9,4600.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",4,4,The Hot Troll Deviation,2010-10-14,2010,8.0,4500.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",4,5,The Desperation Emanation,2010-10-21,2010,7.6,4400.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",4,6,The Irish Pub Formulation,2010-10-28,2010,8.0,4500.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",4,7,The Apology Insufficiency,2010-11-04,2010,8.0,4500.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",4,8,The 21-Second Excitation,2010-11-11,2010,8.1,4500.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",4,9,The Boyfriend Complexity,2010-11-18,2010,8.4,4700.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",4,10,The Alien Parasite Hypothesis,2010-12-09,2010,7.6,4400.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",4,11,The Justice League Recombination,2010-12-16,2010,8.6,5000.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",4,12,The Bus Pants Utilization,2011-01-06,2011,7.5,4300.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",4,13,The Love Car Displacement,2011-01-20,2011,8.2,4700.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",4,14,The Thespian Catalyst,2011-02-03,2011,7.7,4400.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",4,15,The Benefactor Factor,2011-02-10,2011,7.7,4400.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",4,16,The Cohabitation Formulation,2011-02-17,2011,7.8,4200.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",4,17,The Toast Derivation,2011-02-24,2011,7.9,4300.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",4,18,The Prestidigitation Approximation,2011-03-10,2011,8.1,4400.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",4,19,The Zarnecki Incursion,2011-03-31,2011,8.0,4300.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",4,20,The Herb Garden Germination,2011-04-07,2011,8.2,4300.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",4,21,The Agreement Dissection,2011-04-28,2011,8.2,4400.0,8.1,7.5
